DateTime,AddedIPs,RemovedIPs
1498222981,430,374
1498226691,435,429
1498230570,318,432
1498234378,185,325
1498238236,195,188
1498242056,156,196
1498245931,149,138
1498249790,300,157
1498253613,350,220
1498257434,289,438
1498261242,303,291
1498265077,176,301
1498268963,140,161
1498272754,126,119
1498276626,285,160
1498280576,295,290
1498284546,305,293
1498288661,173,302
1498292503,86,41
1498296519,211,220
1498300392,281,214
1498304215,354,282
1498308063,221,353
1498311874,174,221
1498315731,167,173
1498319604,24,10
1498323419,26,18
1498327280,142,46
1498330964,286,134
1498334950,264,266
1498339064,348,350
1498342889,98,105
1498346744,21,39
1498350516,93,255
1498354400,254,243
1498358222,319,256
1498362097,308,319
1498365894,147,275
1498369759,178,179
1498373555,143,143
1498377424,191,176
1498381361,299,191
1498385106,314,298
1498388951,288,316
1498392805,249,288
1498396621,57,121
1498400483,28,19
1498404275,118,36
1498408141,415,259
1498412000,406,407
1498423492,89,139
1498427414,394,350
1498431183,425,415
1498435019,125,134
1498438932,25,31
1498442692,13,39
1498446544,16,34
1498450368,11,44
1498458054,20,45
1498461881,12,28
1498465728,205,173
1498469598,439,328
1498473412,447,447
1498477238,448,447
1498481074,443,446
1498484945,446,445
1498488761,445,444
1498492593,47,53
1498496519,27,34
1498501857,56,66
1498506694,422,408
1498510378,434,433
1498514536,49,56
1498518310,19,30
1498522148,13,19
1498525972,174,176
1498529843,422,394
1498533649,430,431
1498537472,94,107
1498541324,24,49
1498545190,25,31
1498549024,154,379
1498552834,166,169
1498556677,304,167
1498560479,285,300
1498564375,278,292
1498568224,413,269
1498572156,216,374
1498575900,27,72
1498579743,115,147
1498583568,28,3
1498587259,295,204
1498591056,389,291
1498594904,389,356
1498598735,351,351
1498602542,253,260
1498606398,77,234
1498610110,36,46
1498613817,78,97
1498617640,174,234
1498621512,214,180
1498625328,293,158
1498629182,381,294
1498632996,321,322
1498636999,336,336
1498640941,280,282
1498644810,48,54
1498648619,22,21
1498652479,14,35
1498656291,49,56
1498660159,175,390
1498663989,263,184
1498667832,220,260
1498671704,303,223
1498675496,317,303
1498679390,308,314
1498683215,295,312
1498687374,267,284
1498691105,403,240
1498694952,330,328
1498698819,191,442
1498702893,164,166
1498706688,194,187
1498710807,47,38
1498714623,48,15
1498718488,312,130
1498722294,307,409
1498726169,300,317
1498729965,320,300
1498733854,379,256
1498737921,221,444
1498741751,193,222
1498745581,164,173
1498749425,203,178
1498753252,23,67
1498757106,329,158
1498761203,307,334
1498765055,340,280
1498768856,323,258
1498772703,301,302
1498776819,94,102
1498780652,32,41
1498784616,32,41
1498788552,27,60
1498792403,11,25
1498796248,46,83
1498800068,284,305
1498804166,307,302
1498808016,337,309
1498811832,294,337
1498815651,312,292
1498819495,218,242
1498823590,26,14
1498827801,58,36
1498831503,24,14
1498835336,24,35
1498843013,429,307
1498846889,436,438
1498850685,441,440
1498854551,446,441
1498858386,437,442
1498862210,42,52
1498866061,33,37
1498869911,42,51
1498873741,35,50
1498881421,252,280
1498885330,389,324
1498889339,412,423
1498893191,347,345
1498897277,396,390
1498901099,34,43
1498904943,48,56
1498908782,21,34
1498912592,25,55
1498916456,89,96
1498920297,395,323
1498924157,438,437
1498927985,438,438
1498931824,430,436
1498935696,53,63
1498939755,22,32
1498943580,17,49
1498947645,29,63
1498951485,14,28
1498955371,29,56
1498959281,242,174
1498963021,422,362
1498966878,443,435
1498970691,443,443
1498989899,358,419
1498993757,400,347
1498997834,427,433
1499009339,376,418
1499017261,309,387
1499021116,290,315
1499025193,232,290
1499029059,225,230
1499032953,188,218
1499036739,344,187
1499040544,312,345
1499044401,300,318
1499048221,220,301
1499052177,99,59
1499055891,203,196
1499059754,165,94
1499063569,56,124
1499067417,80,51
1499071268,349,284
1499075089,407,346
1499079194,427,416
1499087372,441,432
1499091195,395,442
1499095018,356,397
1499098869,338,356
1499102948,73,115
1499106791,53,30
1499110635,28,27
1499114474,14,27
1499118310,25,23
1499122157,66,53
1499125993,244,169
1499129853,377,394
1499133767,413,378
1499137510,441,417
1499141337,423,440
1499145174,369,422
1499149296,364,367
1499153086,280,299
1499156960,368,347
1499160789,282,296
1499164638,356,355
1499168477,350,352
1499172291,439,354
1499176393,385,386
1499180227,428,432
1499184225,425,424
1499187899,288,381
1499191742,331,321
1499195582,314,329
1499199423,46,56
1499203284,40,49
1499207156,202,173
1499210949,413,334
1499214802,388,375
1499218619,414,436
1499222530,412,394
1499226256,420,427
1499230169,359,428
1499233984,169,231
1499237872,171,128
1499241707,352,335
1499245779,361,356
1499249586,195,257
1499253439,432,300
1499257321,441,432
1499261097,417,442
1499265038,424,412
1499269149,447,429
1499272885,336,364
1499277101,302,284
1499280821,132,147
1499284654,38,52
1499288563,16,46
1499292324,16,35
1499296180,17,44
1499300006,158,179
1499304091,335,304
1499308008,377,341
1499311769,402,374
1499315584,440,402
1499319714,425,441
1499323510,378,362
1499327374,73,89
1499335294,79,123
1499338961,85,115
1499342973,408,327
1499346793,431,427
1499350892,418,425
1499354694,73,86
1499370084,431,410
1499373904,435,431
1499377752,433,436
1499381600,135,144
1499385756,13,31
1499389517,9,18
1499393347,11,21
1499397197,20,26
1499401011,43,58
1499405114,42,67
1499408963,20,30
1499412798,32,70
1499416641,16,39
1499420498,24,42
1499424298,21,24
1499439704,409,223
1499447302,444,440
1499451159,443,444
1499455017,442,442
1499458866,447,444
1499462678,449,449
1499466539,446,447
1499470638,445,445
1499474460,442,445
1499478278,445,443
1499489818,424,441
1499497486,166,217
1499501336,408,341
1499505185,447,445
1499508991,429,443
1499516669,160,185
1499520536,31,67
1499524382,17,27
1499528204,59,66
1499532041,399,307
1499535892,442,445
1499539732,440,437
1499543555,443,444
1499547388,33,37
1499555089,52,72
1499558956,25,39
1499562771,247,401
1499566607,261,253
1499570466,249,259
1499574276,157,251
1499578144,141,158
1499581989,133,140
1499585869,141,136
1499589661,143,141
1499593484,264,141
1499597352,270,262
1499601184,427,268
1499605016,278,429
1499608918,417,277
1499612709,227,418
1499616560,44,33
1499620457,17,14
1499624198,127,239
1499628070,253,129
1499631883,422,250
1499635729,447,426
1499639591,437,441
1499643411,134,441
1499647231,30,9
1499651077,82,44
1499654916,154,191
1499658783,274,159
1499662610,218,273
1499666515,292,219
1499670291,150,77
1499674129,22,23
1499677971,42,33
1499681799,17,13
1499685648,405,343
1499689481,438,434
1499693345,433,433
1499697184,208,210
1499701018,14,21
1499704775,130,423
1499708476,147,141
1499712302,232,147
1499716156,233,234
1499719978,232,233
1499723821,290,231
1499727799,133,289
1499731489,128,133
1499735344,141,127
1499739432,131,142
1499743278,136,131
1499747095,254,138
1499750930,253,254
1499922272,279,248
1499926113,136,282
1499929970,156,137
