DateTime,AddedIPs,RemovedIPs
1498222997,6,8
1498226707,19,12
1498230581,10,11
1498234387,12,12
1498238246,7,7
1498242067,12,12
1498245955,7,10
1498249813,16,13
1498253638,15,15
1498257445,8,8
1498261257,9,13
1498265086,12,18
1498268971,15,18
1498272764,10,8
1498276646,6,8
1498280599,16,14
1498284557,9,7
1498288671,11,10
1498292514,13,7
1498296541,19,16
1498300400,17,16
1498304226,3,7
1498308072,8,5
1498311886,5,9
1498315743,6,5
1498319618,4,2
1498323429,10,8
1498327290,5,8
1498330974,3,2
1498334959,3,7
1498339074,5,2
1498342897,6,8
1498346752,3,4
1498350524,7,2
1498354409,6,9
1498358231,5,8
1498362110,4,5
1498365903,7,9
1498369770,7,12
1498373563,12,19
1498377432,16,22
1498381380,12,10
1498385119,3,3
1498388960,8,8
1498392815,10,14
1498396628,7,3
1498400490,11,5
1498404281,4,6
1498408153,13,8
1498412006,7,4
1498423501,22,12
1498427425,10,4
1498431190,7,2
1498435025,12,4
1498438941,7,1
1498442698,3,3
1498446550,5,4
1498450375,7,1
1498458060,12,15
1498461887,9,2
1498465735,7,9
1498469605,8,2
1498473420,6,5
1498477244,6,9
1498481081,9,5
1498484953,4,3
1498488767,5,8
1498492601,6,7
1498496526,4,5
1498501865,9,9
1498506701,9,11
1498510385,11,11
1498514545,8,2
1498518317,9,9
1498522155,2,6
1498525979,7,10
1498529850,2,7
1498533657,3,3
1498537479,9,6
1498541335,8,9
1498545201,9,12
1498549043,14,17
1498552845,10,14
1498556687,9,12
1498560488,15,11
1498564388,14,15
1498568247,6,8
1498572166,11,13
1498575909,5,8
1498579753,4,10
1498583578,10,16
1498587269,8,6
1498591075,3,6
1498594949,4,3
1498598763,8,3
1498602556,5,10
1498606412,6,8
1498610124,14,12
1498613833,4,7
1498617653,4,4
1498621530,20,18
1498625340,5,8
1498629194,9,10
1498633007,8,6
1498637017,5,7
1498640951,9,5
1498644820,7,7
1498648628,6,5
1498652490,5,2
1498656302,6,5
1498660176,27,22
1498664002,5,15
1498667841,10,9
1498671727,7,18
1498675510,12,5
1498679411,17,19
1498683230,18,16
1498687396,5,10
1498691116,5,7
1498694965,4,5
1498698832,8,11
1498702903,12,15
1498706699,10,4
1498710817,3,1
1498714634,4,1
1498718498,3,7
1498722306,10,11
1498726180,11,12
1498729986,5,4
1498733882,9,3
1498737932,7,8
1498741760,15,21
1498745593,13,9
1498749436,10,13
1498753260,9,10
1498757119,12,6
1498761214,13,11
1498765066,12,12
1498768869,5,6
1498772713,9,8
1498776830,7,5
1498780664,4,9
1498784631,5,2
1498788561,10,9
1498792412,7,6
1498796258,5,6
1498800082,5,4
1498804183,10,9
1498808031,9,13
1498811843,5,10
1498815665,14,11
1498819502,14,16
1498823597,7,4
1498827807,6,5
1498831511,2,9
1498835344,3,7
1498843020,22,19
1498846897,9,6
1498850697,4,1
1498854558,5,10
1498858394,11,5
1498862218,6,9
1498866068,5,4
1498869920,5,1
1498873749,6,6
1498881430,15,9
1498885342,5,3
1498889347,5,7
1498893200,3,8
1498897284,13,7
1498901108,7,7
1498904952,4,6
1498908790,4,8
1498912600,7,5
1498916468,6,4
1498920305,11,2
1498924168,2,5
1498927993,4,8
1498931831,4,5
1498935705,9,7
1498939763,6,6
1498943588,4,4
1498947658,5,10
1498951493,3,2
1498955388,7,12
1498959289,3,3
1498963029,3,2
1498966890,3,3
1498970700,2,4
1498989908,34,30
1498993767,2,5
1498997843,7,9
1499009348,15,12
1499017273,12,12
1499021128,14,12
1499025203,15,8
1499029076,13,15
1499032970,9,12
1499036754,9,7
1499040557,14,14
1499044411,15,12
1499048233,6,12
1499052185,16,14
1499055905,14,11
1499059762,14,8
1499063577,8,5
1499067430,7,4
1499071282,17,15
1499075101,12,11
1499079203,5,8
1499087382,15,16
1499091206,15,8
1499095026,11,11
1499098876,10,6
1499102956,13,8
1499106806,7,6
1499110646,4,4
1499114483,5,4
1499118319,10,7
1499122167,13,13
1499126003,7,10
1499129864,18,19
1499133783,8,10
1499137522,3,2
1499141347,7,6
1499145184,4,12
1499149307,16,17
1499153098,10,5
1499156978,8,10
1499160797,9,6
1499164649,10,12
1499168489,7,10
1499172301,11,10
1499176403,5,14
1499180239,16,11
1499184266,12,13
1499188112,8,8
1499191955,14,14
1499195811,9,11
1499199666,12,13
1499203740,7,2
1499207610,5,8
1499211427,9,14
1499215267,2,3
1499219327,12,13
1499223207,4,9
1499227343,12,8
1499231094,6,9
1499234921,9,8
1499238771,6,3
1499242869,13,10
1499246688,20,23
1499250806,4,3
1499254650,10,9
1499258484,6,8
1499262294,11,10
1499266146,7,3
1499269985,10,7
1499273829,5,16
1499277926,6,4
1499281762,8,6
1499285569,7,7
1499289439,8,11
1499293424,7,6
1499297088,8,3
1499301194,5,14
1499305037,9,3
1499308865,14,14
1499312696,19,11
1499316788,23,24
1499320637,13,7
1499324496,3,3
1499328295,9,12
1499335961,16,14
1499339819,6,10
1499343663,9,4
1499347485,8,8
1499351365,8,7
1499366703,14,11
1499370551,7,5
1499374375,9,6
1499378211,6,3
1499382209,3,4
1499386162,2,0
1499390005,3,2
1499393806,2,1
1499397697,6,2
1499401732,6,5
1499405600,5,1
1499409439,4,2
1499413266,3,1
1499417084,4,4
1499420962,7,7
1499424799,0,2
1499428639,1,5
1499432495,6,6
1499440400,5,225
1499444219,6,0
1499448051,8,0
1499451861,6,0
1499455975,3,0
1499459795,5,0
1499463646,6,0
1499467479,7,0
1499471327,5,0
1499475148,1,0
1499479382,5,0
1499486920,7,0
1499490772,4,0
1499494595,6,0
1499498460,1,0
1499502285,2,0
1499506125,4,0
1499509970,3,0
1499517637,11,0
1499525317,9,0
1499533013,5,0
1499536961,3,0
1499540682,5,0
1499552353,10,0
1499559897,3,0
1499563740,6,0
1499567557,7,0
1499571406,9,0
1499575227,2,0
1499579076,10,0
1499582940,2,0
1499586761,2,0
1499590607,11,0
1499594706,6,0
1499598519,4,0
1499602388,8,0
1499606190,9,0
1499610033,1,1
