DateTime,AddedIPs,RemovedIPs
1495565334,2,0
1495569174,2,0
1495580947,4,0
1495588590,1,0
1495603963,1,0
1495607812,1,0
1495611660,1,0
1495623189,1,0
1495638530,2,0
1495642380,4,0
1495646199,1,0
1495650246,3,0
1495657981,1,0
1495673334,1,0
1495677185,2,0
1495696992,1,0
1495704560,3,0
1495708393,2,0
1495727851,1,0
1495739618,1,0
1495743424,1,0
1495762618,1,0
1495770290,1,0
1495786175,1,0
1495816626,1,0
1495820423,1,0
1495824311,5,0
1495832198,1,0
1495847601,1,0
1495851413,2,0
1495905420,1,0
1495909271,2,0
1495913111,1,0
1495920795,1,0
1495932309,1,0
1495959194,1,0
1495986065,2,0
1495993582,2,0
1495997349,2,0
1496001201,1,0
1496005393,1,0
1496009124,1,0
1496074903,1,0
1496082586,2,0
1496086405,1,0
1496090248,1,0
1496094107,1,0
1496097924,2,0
1496105586,1,0
1496147833,1,0
1496151658,1,0
1496163193,0,1
1496170967,1,2
1496174711,1,1
1496178537,6,0
1496182476,0,1
1496190095,0,1
1496201598,1,0
1496205445,1,0
1496209275,1,0
1496216960,10,3
1496220834,1,14
1496224637,2,1
1496228561,1,0
1496232317,1,1
1496236186,2,0
1496247897,1,0
1496252030,2,0
1496255865,2,0
1496259693,2,0
1496263524,1,0
1496267349,1,0
1496282718,7,4
1496286652,0,8
1496290471,0,1
1496294224,2,4
1496305783,0,1
1496309846,1,3
1496313708,0,2
1496325200,2,2
1496463013,2,1
1496467785,4,0
1496472655,4,1
1496476944,2,1
1496485008,1,2
1496493143,0,25
1496497202,3,0
1496501035,2,0
1496516723,3,0
1496524220,2,0
1496535857,0,3
1496539724,3,8
1496543577,0,12
1496574291,2,0
1496585824,2,0
1496593499,2,0
1496628120,7,0
1496639793,1,0
1496662836,1,0
1496685874,2,0
1496693563,4,0
1496697409,1,4
1496701277,0,13
1496705093,0,12
1496712799,1,0
1496724272,1,0
1496736066,1,1
1496747819,1,0
1496755492,1,0
1496759572,3,2
1496763412,0,1
1496771339,2,0
1496775173,1,0
1496778849,1,0
1496782576,1,1
1496786489,0,1
1496802042,1,9
1496805866,0,8
1496821257,2,0
1496825080,1,0
1496848159,2,0
1496855816,1,0
1496863719,2,0
1496867564,2,0
1496871393,1,0
1496879066,1,0
1496882918,1,0
1496928994,3,0
1496932838,2,0
1496936664,1,0
1496952135,1,0
1496960359,1,0
1496967861,1,0
1496971706,1,0
1496975557,1,0
1496979406,1,0
1496983232,1,2
1496990911,0,1
1496994744,1,1
1496998576,0,1
1497002512,0,2
1497018041,2,10
1497021888,4,0
1497037816,3,0
1497045769,2,0
1497053347,1,0
1497072548,1,0
1497076374,1,0
1497103343,2,0
1497111176,1,0
1497123193,1,0
1497127022,2,2
1497130857,0,28
1497146227,1,0
1497153892,1,0
1497165410,1,0
1497192289,1,0
1497203805,2,17
1497211490,2,1
1497215338,0,1
1497222859,0,1
1497230442,1,0
1497253487,1,0
1497257326,1,0
1497261196,0,7
1497276788,2,0
1497280637,1,0
1497288282,1,0
1497295978,1,0
1497307464,1,0
1497319013,1,0
1497322937,1,0
1497338225,1,0
1497349737,1,0
1497353568,1,0
1497357411,0,3
1497361255,2,5
1497365084,2,0
1497368943,1,0
1497372780,2,0
1497376900,2,0
1497380721,1,0
1497384557,5,0
1497415220,1,42
1497419072,2,0
1497422901,3,0
1497426755,1,0
1497430586,2,0
1497434495,2,0
1497438166,1,0
1497441887,2,0
1497449577,2,0
1497453429,1,0
1497457265,1,0
1497461108,1,0
1497480277,3,0
1497483969,2,0
1497491580,1,0
1497495406,1,0
1497499334,1,0
1497510772,1,0
1497534039,2,0
1497537883,1,0
1497541724,2,0
1497545557,1,0
1497549401,1,0
1497557333,2,0
1497565025,1,0
1497580398,1,0
1497584199,1,0
1497603398,1,0
1497607349,2,0
1497614941,1,0
1497622886,2,0
1497626687,1,0
1497630515,2,0
1497634384,3,0
1497642074,1,0
1497649771,1,0
1497661405,1,0
1497692243,1,0
1497696129,1,0
1497707812,2,0
1497727313,1,0
1497731086,1,0
1497750077,2,0
1497761596,1,0
1497792518,6,0
1497815544,2,0
1497834798,2,0
1497866013,4,0
1497873778,1,0
1497881358,2,0
1497916378,3,0
1497939715,1,0
1497966838,2,0
1497985974,2,0
1497989856,3,0
1498017196,2,0
1498028708,2,0
1498032539,1,0
1498040618,1,0
1498048413,0,95
1498052488,3,0
1498056288,5,0
1498060134,1,0
1498063999,1,0
1498067853,1,0
1498071674,1,0
1498075492,2,0
1498087127,1,0
1498122160,1,0
1498134119,4,0
1498142074,3,0
1498145855,2,0
1498149656,1,0
1498157366,1,0
1498161173,1,0
1498165043,1,0
1498187822,2,0
1498195743,1,0
1498199617,6,0
1498207245,1,0
1498215220,1,0
1498230582,2,0
1498238248,2,0
1498245957,3,0
1498253642,1,0
1498261258,1,0
1498265087,1,0
1498284559,1,0
1498311889,2,0
1498319620,1,0
1498330976,4,0
1498339075,1,0
1498346754,1,0
1498365904,1,0
1498400491,3,0
1498404283,3,0
1498408155,4,0
1498412009,1,0
1498423503,7,6
1498431192,0,1
1498438943,0,1
1498446553,0,2
1498458062,0,1
1498465737,1,0
1498477246,2,3
1498501866,1,1
1498506703,3,2
1498514548,0,1
1498522157,1,0
1498525981,1,1
1498529852,0,1
1498537481,1,0
1498552847,1,0
1498568251,1,1
1498572168,2,1
1498575913,0,1
1498579757,2,4
1498591083,0,1
1498594961,2,1
1498617658,1,2
1498621536,0,2
1498625343,1,1
1498637023,1,0
1498656305,0,4
1498660181,2,2
1498664006,1,0
1498667844,1,0
1498671731,1,1
1498675514,2,1
1498679417,1,0
1498702909,2,1
1498706701,1,1
1498718502,0,3
1498722310,0,1
1498737934,0,1
1498745596,2,1
1498757123,1,0
1498761217,1,0
1498796262,1,0
1498800084,1,0
1498804187,0,1
1498819504,1,2
1498831513,2,2
1498843024,0,2
1498850701,1,0
1498854560,1,1
1498862221,0,1
1498881433,0,1
1498916471,3,0
1498920309,4,1
1498924170,0,25
1498927997,1,31
1498931833,3,4
1498935707,4,1
1498939765,0,1
1498943590,1,3
1498947661,1,1
1498951495,2,2
1498955390,1,0
1498959292,0,2
1498963031,0,1
1498966894,2,2
1498970703,1,0
1498989911,0,1
1498993769,1,0
1498997846,1,0
1499009351,3,1
1499017276,4,4
1499021131,0,1
1499025207,2,1
1499029081,2,2
1499032975,0,5
1499036758,1,1
1499040563,2,0
1499044415,0,1
1499071288,1,0
1499091209,1,0
1499106811,4,0
1499126007,1,0
1499168493,1,0
1499191957,1,0
1499195813,1,0
1499199672,2,0
1499238774,2,0
1499254660,2,0
1499281767,1,0
1499351369,1,0
1499366705,3,0
1499370555,2,0
1499374379,1,0
1499390009,1,0
1499393809,1,0
1499397701,2,0
1499413269,1,0
1499417087,2,0
1499420964,1,0
1499440401,0,40
1499444219,2,0
1499451861,1,0
1499455975,2,0
1499459796,3,0
1499463647,1,0
1499467480,1,0
1499479383,1,0
1499509971,1,0
1499517638,1,0
1499525318,11,0
1499529166,1,0
1499533014,0,1
1499536963,0,12
1499540684,1,2
1499544512,0,4
1499552355,2,0
1499559899,2,2
1499567560,2,2
1499571411,0,1
1499579078,2,2
1499582943,2,0
1499594709,7,4
1499598521,4,2
1499602397,2,0
1499606193,1,2
1499614152,2,1
1499617984,0,1
1499625520,0,4
1499629497,2,1
1499633342,1,1
1499641016,0,1
1499644921,3,1
1499652789,0,1
1499656703,1,2
1499660482,1,1
1499664272,2,2
1499668146,2,0
1499671995,0,2
1499675802,0,3
1499679649,2,1
1499683487,0,2
1499687339,3,0
1499691177,2,2
1499695020,2,0
1499698906,3,0
1499702745,2,2
1499710383,1,2
1499714207,1,4
1499718067,2,1
1499721878,0,1
1499725729,0,1
1499729581,0,1
1499733410,0,3
1499744933,1,0
1499748773,2,0
1499923243,6,0
1499927066,1,0
1499930920,1,0
1499934777,0,1
1499942431,1,0
1499953980,3,0
1499961903,1,0
1499977509,3,0
1500008482,1,0
1500016118,1,0
1500023804,2,0
1500039403,4,0
1500051395,1,0
1500055367,3,0
1500059349,1,0
1500063169,2,0
1500067279,2,0
1500071349,1,0
1500075182,5,2
1500079011,2,5
1500082849,0,6
1500086691,0,23
1500090533,1,2
1500102072,5,0
1500105907,1,4
1500109750,4,1
1500117394,0,2
1500125081,1,2
1500128916,4,0
1500136843,1,3
1500140673,2,5
1500144784,1,1
1500148621,4,4
1500152492,0,3
1500156301,1,0
1500160147,0,1
1500167833,1,3
1500171670,0,1
1500175492,4,1
1500179330,1,0
1500183440,0,1
1500187501,0,1
1500195167,1,1
1500199070,0,1
1500206941,1,0
1500211027,2,0
1500218726,2,1
1500226370,0,4
1500234070,3,0
1500253342,0,2
1500257353,1,0
1500261175,3,0
1500265029,0,4
1500268874,1,1
1500284209,1,0
1500299602,3,0
1500311354,1,0
1500319026,1,0
1500330794,1,0
1500342300,1,0
1500353924,1,0
1500357786,1,1
1500369188,1,0
1500384569,1,0
1500388385,1,0
