DateTime,AddedIPs,RemovedIPs
1455589209,4,16
1456199052,22,4
1456721767,10,9
1458028601,21,7
1458900020,20,11
1458987138,11,0
1459423016,9,29
1459771452,2,4
1460643408,2,26
1460730495,15,1
1460991850,5,2
1461521780,7,0
1462220893,11,26
1462569370,31,3
1464398906,29,0
1465705727,20,44
1466489794,0,42
1467012495,7,3
1467448100,0,2
1472327064,13,18
1472762654,16,12
1473285391,4,2
1473372499,0,6
1474156575,0,5
1475463653,1,15
1476509049,18,1
1476596192,4,0
1476770457,4,7
1477728751,8,0
1478251473,1,0
1478425699,3,13
1479123154,5,9
1479384517,1,1
1480342825,0,3
1480604178,6,5
1481389713,1,10
1481564182,4,0
1482261397,9,7
1482348507,3,0
1483394510,9,11
1484091635,9,3
1484178743,1,11
1484352998,14,0
1484614372,6,0
1484789072,6,0
1484963292,13,14
1485050482,34,2
1485137808,2,0
1485224893,1,0
1485312037,11,11
1485573633,5,9
1485747859,1,0
1486009245,2,20
1486531936,10,5
1486706171,0,1
1486880440,1,0
1487316017,1,0
1487751653,3,0
1488100089,4,13
1488622818,1,16
1489058410,3,0
1489232660,5,0
1489406896,2,6
1489668260,9,0
1489843006,4,0
1490104336,14,0
1490191717,5,0
1490278815,12,0
1490365962,2,0
1490453045,1,0
1490540183,6,0
1490714423,10,0
1490801536,8,0
1490888650,2,0
1490975910,11,0
1491150268,9,0
1491237375,5,0
1491324505,3,0
1491411717,8,0
1491498741,2,0
1491585849,2,0
1491760094,5,0
1492283065,2,0
1492457302,11,0
1492892908,2,0
1492980029,3,0
1493067156,0,13
1493241416,3,0
1493328538,3,0
1493938611,26,0
1494113305,3,0
1494287547,0,10
1494374669,1,0
1494461788,8,0
1494548905,2,0
1494723131,2,0
1494984742,4,0
1495158980,9,0
1495594569,8,0
1496729072,9,97
1496816177,4,0
1496990676,3,0
1497077775,3,0
1497252027,1,0
1498646665,7,0
1499169376,10,0
1499256525,8,116
1499517860,6,0
1499692106,4,0
1499869710,11,0
1500043928,7,0
1500131061,6,0
