DateTime,AddedIPs,RemovedIPs
1458042750,6,7
1458086420,5,18
1458130102,15,4
1458173802,12,10
1458217458,13,7
1458261138,4,3
1458304822,3,5
1458348492,5,2
1458392172,7,4
1458435866,1,0
1458567417,1,1
1458654758,2,1
1458742102,10,7
1458785781,7,9
1458916827,12,11
1458960508,14,16
1459047857,1,3
1459289599,3,3
1459333474,1,4
1459377158,7,18
1459770504,16,20
1459814190,3,6
1459857865,3,3
1459901554,5,9
1459945480,1,0
1459989141,2,1
1460032844,15,8
1460076513,7,0
1460120538,16,9
1460208037,2,1
1460382756,8,3
1460426497,5,9
1460470127,3,0
1460557962,11,8
1460623704,2,0
1460667384,2,4
1460754996,8,14
1460842606,3,11
1460886266,0,1
1460973640,3,3
1461061223,4,3
1461105090,5,16
1461162459,1,1
1461337240,12,7
1461511978,0,2
1461642990,0,1
1461686941,3,6
1461730600,3,3
1461774259,14,4
1461817959,1,0
1461861644,6,5
1461948997,24,10
1462036375,0,1
1462211068,7,6
1462298445,38,24
1462385793,35,35
1462429584,8,8
1462473383,13,16
1462517075,11,11
1462560782,12,15
1462604431,5,5
1462648106,2,2
1462735461,1,1
1462779158,4,9
1462822826,18,26
1462866539,1,1
1462910184,45,39
1462953863,16,14
1462997806,50,42
1463041476,21,18
1463085160,31,37
1463128877,17,17
1463172558,10,9
1463216187,19,21
1463259882,2,4
1463390910,3,3
1463434612,48,46
1463478256,18,15
1463521966,49,42
1463565648,20,21
1463609318,27,30
1463653017,18,23
1463696658,50,54
1463740359,24,23
1463784025,34,25
1464002452,4,7
1464046102,1,2
1464089811,3,4
1464133468,17,17
1464177395,11,7
1464221064,11,13
1464264752,8,10
1464308439,92,84
1464352112,10,15
1464395787,15,15
1464614190,7,7
1464701555,23,23
1464767068,14,18
1464898098,2,2
1464941820,2,1
1464985459,3,1
1465248031,3,3
1465291702,9,14
1465335409,9,13
1465379053,10,12
1465422734,8,10
1465466429,9,11
1465510169,5,5
1465554021,7,10
1465597695,10,12
1465641409,3,2
1465816104,7,3
1465859785,4,3
1465903458,5,3
1465947150,3,3
1465990849,2,4
1466034502,2,2
1466078424,4,7
1466122094,8,7
1466165781,6,7
1466209451,3,4
1466384176,1,2
1466427855,6,14
1466471546,4,5
1466515217,8,6
1466558941,3,1
1466602582,1,2
1466646259,5,6
1466689944,6,8
1466733660,41,26
1466777327,14,14
1466820994,11,10
1466864648,1,0
1466908339,1,0
1466952044,1,1
1466995700,0,1
1467039385,12,24
1467083051,22,21
1467126794,27,24
1467170419,1,4
1467214102,34,31
1467257787,5,5
1467301456,40,65
1467345162,3,4
1467388838,4,31
1467432505,3,0
1467519858,3,0
1467563544,1,0
1467651155,20,4
1467738504,25,7
1467782265,1,6
1467825934,15,13
1467869788,9,9
1467913457,12,12
1468000847,17,9
1468262900,4,1
1468350256,26,19
1468393945,16,6
1468437625,5,5
1468524974,5,4
1468612344,13,17
1468699707,1,2
1468787047,1,1
1468830747,1,0
1468874435,6,8
1468918107,3,1
1468961775,3,1
1469049144,7,3
1469092811,1,1
1469136514,3,4
1469180178,1,2
1469223854,2,2
1469616992,3,8
1469660657,8,10
1469704353,4,5
1469748019,1,1
1469791700,1,1
1469835394,2,5
1470053823,2,5
1470141157,7,4
1470228515,4,6
1470272174,1,1
1470315854,4,3
1470403447,1,1
1470665543,3,5
1470883948,0,1
1470927664,6,5
1471015061,1,1
1471146276,2,2
1471189944,0,1
1471320979,2,1
1471408344,1,2
1471452027,0,1
1471539372,5,5
1471932518,3,3
1471976179,7,7
1472063546,4,5
1472151157,10,10
1472501053,3,13
1472544756,1,1
1472588480,1,0
1472632109,3,8
1472675788,1,2
1472719453,0,2
1472763145,2,1
1472806861,1,2
1472850500,3,5
1473069142,1,1
1473156503,1,0
1473200432,1,8
1473244091,1,1
1473287792,5,3
1473331448,2,2
1473375149,3,2
1473418860,3,2
1473462531,1,2
1473637222,2,4
1473724580,1,0
1473768261,1,1
1473855653,1,1
1473899557,0,1
1473943221,3,0
1473986899,4,0
1474030583,3,0
1474314739,5,0
1474358492,1,0
1474402353,3,2
1474489712,0,1
1474533643,1,1
1474839377,1,1
1474926748,1,0
1475058018,1,0
1475189297,5,8
1475233018,2,6
1475276655,1,1
1475320333,1,3
1475364023,1,1
1475538736,1,1
1476281542,1,0
1476369153,1,1
1476456511,3,2
1476718831,2,2
1476806182,5,3
1477068502,2,1
1477417959,2,0
1477592932,7,3
1477856679,1,1
1477900343,1,0
1478031632,2,2
1478118988,8,9
1478512345,1,1
1478643389,2,2
1478774442,1,1
1478818101,4,2
1478905465,1,1
1479167556,2,1
1479211266,1,1
1479254910,2,1
1479735615,2,1
1479779303,16,9
1479822992,18,14
1479866667,19,17
1479910350,32,28
1479954047,18,12
1479997699,22,23
1480041374,6,4
1480085058,13,17
1480347406,14,17
1480391062,2,7
1480435004,18,22
1480478686,1,1
1480522597,15,14
1480609956,20,16
1480653614,0,1
1480697304,6,4
1480959404,4,2
1481048253,35,23
1481092967,1,1
