DateTime,AddedIPs,RemovedIPs
1463851261,0,2
1463910223,3,0
1463990944,1,1
1463993504,0,1
1464168847,2,1
1464170841,0,1
1464171857,2,1
1464173852,1,1
1464185703,2,1
1464253386,0,2
1464341461,2,1
1464407141,1,0
1464429671,0,2
1464437706,1,0
1464518540,1,1
1464525384,1,1
1464593841,2,1
1464594528,1,0
1464599706,1,1
1464621350,0,1
1464634873,0,1
1464680712,1,0
1464688922,1,1
1464769806,1,0
1464856805,0,1
1464862328,0,1
1464945269,1,0
1465035712,0,1
1465124810,2,3
1465204219,0,2
1465286221,1,0
1465289130,0,1
1465383740,1,0
1465455608,1,0
1465460899,1,2
1465463369,1,0
1465550882,2,0
1465552643,0,1
1465572639,0,1
1465638512,0,2
1465639045,1,0
1465728356,1,2
1465895537,0,1
1465982450,1,0
1465999248,1,0
1466069794,2,1
1466073691,0,1
1466090104,1,2
1466153755,0,9
1466287868,0,1
1466517269,1,0
1466585375,0,1
1466682623,0,1
1466684190,0,1
1466765270,1,0
1466858521,0,1
1466931515,1,0
1466941147,1,0
1467017994,0,1
1467018556,0,1
1467031829,0,1
1467033633,1,0
1467035071,1,0
1467038166,0,1
1467107150,1,2
1467108842,0,2
1467547947,0,1
1467549051,1,1
1467550472,0,1
1467552340,1,0
1467559501,1,1
1467708318,5,0
1467739579,1,0
1467794460,1,0
1467795794,0,1
1467797188,1,2
1467893329,2,1
1467894466,0,1
1467895490,0,1
1467933301,1,0
1467969558,1,1
1467975649,1,0
1468054211,0,1
1468148390,1,0
1468226765,1,1
1468234298,1,1
1468313754,2,2
1468406581,1,1
1468486628,2,0
1468563287,1,0
1468572858,1,0
1468574819,0,1
1468582268,0,1
1468663835,1,2
1468666677,0,1
1468673201,1,0
1468686791,2,0
1468692045,0,1
1468746608,1,1
1468918081,1,0
1468919731,0,1
1468921715,0,1
1468926139,1,0
1469004597,2,2
1469007291,0,1
1469095979,2,1
1469179600,1,1
1469264292,0,1
1469526975,2,3
1469622865,1,1
1469694294,1,3
1469751368,1,0
1469779927,0,1
1469870855,2,1
1469955541,0,1
1469958801,3,0
1470221611,1,0
1470310320,1,0
1470313254,0,1
1470390357,2,0
1470392210,1,1
1470475057,1,2
1470476427,1,0
1470477413,1,1
1470478997,0,1
1470562363,1,0
1470640677,1,1
1470645942,1,1
1470656701,0,1
1470734982,0,1
1470827967,1,0
1470991807,0,1
1471080373,0,1
1471090058,1,0
1471180765,1,1
1471253529,0,1
1471340605,2,0
1471425503,0,1
1471511737,0,1
1471519072,0,1
1471604930,1,0
1471856656,1,1
1471860217,1,0
1471860780,1,0
1471864396,1,0
1471948405,1,1
1471970701,0,1
1472116549,4,1
1472207431,3,0
1472451748,1,6
1472460422,0,1
1472460970,1,0
1472540104,1,1
1472554703,2,1
1472571327,3,0
1472586878,0,1
1472594104,2,0
1472710597,0,5
1472723615,3,0
1472727655,1,1
1472765402,1,1
1472807211,1,1
1472814030,1,0
1472895487,1,1
1472900140,0,1
1472906233,0,1
1472972417,0,1
1472990152,1,0
1473066554,1,2
1473077471,0,1
1473168232,2,0
1473181233,1,1
1473238045,1,0
1473240761,0,1
1473325286,0,1
1473326494,1,0
1473336107,0,2
1473707682,1,0
1473710025,1,0
1473714968,0,1
1473726244,0,2
1473860974,0,1
1473869539,0,1
1473948946,0,1
1473962522,1,0
1474017903,1,1
1474020892,2,0
1474060574,1,0
