DateTime,Entries,UniqueIPs
1463847530,165,165
1463851261,163,163
1463910223,166,166
1463990944,166,166
1463993504,165,165
1464168847,166,166
1464170841,165,165
1464171857,166,166
1464173852,166,166
1464185703,167,167
1464253386,165,165
1464341461,166,166
1464407141,167,167
1464429671,165,165
1464437706,166,166
1464518540,166,166
1464525384,166,166
1464593841,167,167
1464594528,168,168
1464599706,168,168
1464621350,167,167
1464634873,166,166
1464680712,167,167
1464688922,167,167
1464769806,168,168
1464856805,167,167
1464862328,166,166
1464945269,167,167
1465035712,166,166
1465124810,165,165
1465204219,163,163
1465286221,164,164
1465289130,163,163
1465383740,164,164
1465455608,165,165
1465460899,164,164
1465463369,165,165
1465550882,167,167
1465552643,166,166
1465572639,165,165
1465638512,163,163
1465639045,164,164
1465728356,163,163
1465895537,162,162
1465982450,163,163
1465999248,164,164
1466069794,165,165
1466073691,164,164
1466090104,163,163
1466153755,154,154
1466287868,153,153
1466517269,154,154
1466585375,153,153
1466682623,152,152
1466684190,151,151
1466765270,152,152
1466858521,151,151
1466931515,152,152
1466941147,153,153
1467017994,152,152
1467018556,151,151
1467031829,150,150
1467033633,151,151
1467035071,152,152
1467038166,151,151
1467107150,150,150
1467108842,148,148
1467547947,147,147
1467549051,147,147
1467550472,146,146
1467552340,147,147
1467559501,147,147
1467708318,152,152
1467739579,153,153
1467794460,154,154
1467795794,153,153
1467797188,152,152
1467893329,153,153
1467894466,152,152
1467895490,151,151
1467933301,152,152
1467969558,152,152
1467975649,153,153
1468054211,152,152
1468148390,153,153
1468226765,153,153
1468234298,153,153
1468313754,153,153
1468406581,153,153
1468486628,155,155
1468563287,156,156
1468572858,157,157
1468574819,156,156
1468582268,155,155
1468663835,154,154
1468666677,153,153
1468673201,154,154
1468686791,156,156
1468692045,155,155
1468746608,155,155
1468918081,156,156
1468919731,155,155
1468921715,154,154
1468926139,155,155
1469004597,155,155
1469007291,154,154
1469095979,155,155
1469179600,155,155
1469264292,154,154
1469526975,153,153
1469622865,153,153
1469694294,151,151
1469751368,152,152
1469779927,151,151
1469870855,152,152
1469955541,151,151
1469958801,154,154
1470221611,155,155
1470310320,156,156
1470313254,155,155
1470390357,157,157
1470392210,157,157
1470475057,156,156
1470476427,157,157
1470477413,157,157
1470478997,156,156
1470562363,157,157
1470640677,157,157
1470645942,157,157
1470656701,156,156
1470734982,155,155
1470827967,156,156
1470991807,155,155
1471080373,154,154
1471090058,155,155
1471180765,155,155
1471253529,154,154
1471340605,156,156
1471425503,155,155
1471511737,154,154
1471519072,153,153
1471604930,154,154
1471856656,154,154
1471860217,155,155
1471860780,156,156
1471864396,157,157
1471948405,157,157
1471970701,156,156
1472116549,159,159
1472207431,162,162
1472451748,157,157
1472460422,156,156
1472460970,157,157
1472540104,157,157
1472554703,158,158
1472571327,161,161
1472586878,160,160
1472594104,162,162
1472710597,157,157
1472723615,160,160
1472727655,160,160
1472765402,160,160
1472807211,160,160
1472814030,161,161
1472895487,161,161
1472900140,160,160
1472906233,159,159
1472972417,158,158
1472990152,159,159
1473066554,158,158
1473077471,157,157
1473168232,159,159
1473181233,159,159
1473238045,160,160
1473240761,159,159
1473325286,158,158
1473326494,159,159
1473336107,157,157
1473707682,158,158
1473710025,159,159
1473714968,158,158
1473726244,156,156
1473860974,155,155
1473869539,154,154
1473948946,153,153
1473962522,154,154
1474017903,154,154
1474020892,156,156
1474060574,157,157
1474106811,155,155
1474107281,155,155
1474120191,156,156
1474131640,155,155
1474234872,155,155
1474237510,156,156
1474277740,154,154
1474287013,155,155
1474382711,157,157
1474397318,158,158
1474405526,159,159
1474448422,157,157
1474457666,157,157
1474543872,156,156
1474545155,156,156
1474635367,157,157
1474707721,158,158
1474720636,159,159
1474805617,158,158
1474857017,157,157
1475128828,158,158
1475142432,157,157
1475143530,156,156
1475149109,156,156
1475162105,158,158
1475166606,158,158
1475169309,158,158
1475181006,158,158
1475182806,158,158
1475228496,158,158
1475230195,158,158
1475234280,159,159
1475237516,160,160
1475313464,160,160
1475399983,161,161
1475484980,161,161
1475488956,162,162
1475519610,162,162
1475574476,161,161
1475662889,162,162
1475744973,162,162
1475746556,162,162
1475747168,162,162
1475753085,161,161
1475756122,160,160
1475762383,159,159
1475839819,161,161
1475842538,160,160
1476092498,160,160
1476097789,159,159
1476099303,159,159
1476183030,160,160
1476304756,161,161
1476442944,162,162
1476525729,162,162
1476616094,148,148
1476633604,147,147
1476867301,148,148
1476871596,148,148
1476872190,149,149
1477301776,150,150
1477304092,150,150
1477305887,150,150
1477398958,151,151
1477401951,150,150
1477477796,149,149
1477561723,149,149
1477648059,149,149
1477731781,151,151
1477734148,152,152
1477737915,150,150
1477822203,149,149
1477825546,149,149
1477906700,150,150
1477916541,151,151
1477983625,151,151
1477992019,150,150
1477998981,150,150
1478085757,151,151
1478115052,153,153
1478164818,152,152
1478167473,152,152
1478250096,151,151
1478254536,151,151
1478340779,153,153
1478378701,151,151
1478681871,151,151
1478685272,150,150
1478685763,151,151
1478688281,152,152
1478693823,154,154
1478765707,152,152
1478779132,153,153
1478853928,152,152
1478870375,152,152
1478959626,153,153
1479048875,154,154
1479207809,153,153
1479305471,154,154
1479459279,155,155
1479464824,156,156
1479466183,155,155
1479991512,154,154
1480071763,155,155
1480160821,156,156
1480212924,155,155
1480323783,154,154
1480327708,153,153
1480588841,154,154
1480589929,153,153
1480593319,155,155
1480601701,154,154
1480765579,153,153
1480851883,155,155
1480940894,154,154
1481116853,154,154
1481119162,153,153
1481271657,152,152
1481272855,150,150
1481275157,149,149
1481284030,148,148
1481378260,149,149
1481455955,149,149
1481460523,150,150
1481519703,150,150
1481622532,149,149
1481704547,150,150
1481710054,150,150
1481812627,151,151
1481882756,150,150
1481972608,151,151
1481973223,150,150
1481976062,149,149
1482059138,150,150
1482062627,151,151
1482403438,150,150
1482405531,149,149
1482406934,150,150
1482482535,151,151
1482596159,152,152
1482753788,153,153
1482840509,152,152
1482921375,153,153
1482923826,153,153
1483009161,152,152
1483013678,153,153
1483466286,153,153
1483610488,152,152
1483615535,152,152
1483789166,151,151
1484210664,135,135
1484996890,135,135
1485001814,136,136
1485106202,135,135
1485507783,136,136
1485602147,137,137
1485766493,136,136
1486113382,135,135
1486409895,136,136
1486412594,137,137
1486547825,137,137
1486634889,136,136
1486636872,136,136
1486894080,136,136
1486977630,135,135
1487413783,136,136
1487671999,136,136
1487842325,134,134
1487845364,135,135
1488273876,134,134
1488275499,133,133
1488621936,134,134
1488624922,133,133
1488714090,132,132
1488964468,132,132
1489394210,127,127
1489554940,124,124
1489559667,123,123
1489560322,125,125
1489651549,125,125
1489757740,126,126
1489923505,129,129
1490079603,130,130
1490089112,129,129
1490123769,129,129
1490126406,130,130
1490171843,131,131
1490172762,130,130
1490256251,129,129
1490257221,130,130
1490472902,131,131
1490521596,133,133
1490600224,132,132
1490654765,131,131
1490687113,132,132
1490690692,131,131
1490712351,130,130
1490713212,131,131
1490719566,130,130
1490721317,131,131
1490725880,130,130
1490727614,131,131
1490789748,130,130
1490791560,131,131
1490794261,130,130
1490796061,131,131
1490797854,130,130
1490798718,131,131
1490804168,130,130
1490805027,131,131
1490814962,130,130
1490816713,131,131
1490832975,130,130
1490836558,131,131
1490837459,130,130
1490840164,131,131
1490850960,130,130
1490851861,131,131
1490866316,131,131
1490878066,130,130
1490879810,131,131
1490881615,130,130
1490882456,131,131
1490886117,130,130
1490886960,131,131
1490890619,130,130
1490891521,131,131
1490893286,130,130
1490894142,131,131
1490966158,130,130
1490971518,131,131
1491204220,133,133
1491356718,132,132
1491375565,131,131
1491376387,131,131
1492432374,131,131
1492441708,132,132
1492699264,132,132
1493288256,132,132
1493389604,131,131
1493493053,131,131
1493577002,131,131
1493624020,131,131
1493660703,131,131
1493801700,130,130
1493930702,131,131
1493967839,131,131
1494068772,131,131
1494148219,131,131
1494151726,131,131
1494161112,131,131
1494162910,131,131
1494226997,131,131
1494229428,132,132
1494319010,132,132
1494342908,132,132
1494666778,132,132
1494668083,133,133
1494670511,133,133
1494693001,132,132
1494754207,132,132
1494837055,132,132
1495029199,132,132
1495177353,132,132
1495442377,131,131
1495611500,132,132
1495793194,132,132
1495983993,133,133
1495985404,132,132
1496127933,131,131
1496301332,131,131
1496302660,132,132
1496394001,133,133
1496395468,132,132
1496668758,130,130
1496670048,131,131
1496693496,132,132
1496834204,131,131
1496840002,131,131
1496905676,130,130
1496997983,130,130
1497174270,129,129
1497347748,129,129
1497947030,130,130
1497948956,131,131
1497949637,130,130
1498038821,129,129
1499074224,130,130
1499075530,129,129
1499079011,130,130
1499079914,131,131
1499249029,131,131
1499345047,0,0
1499598449,132,132
1499600390,131,131
1499604311,132,132
1499608401,132,132
1499670839,132,132
1499763001,131,131
